epochs,losses
1,0.20095348396362753
2,0.07813802494566119
3,0.017388562271761287
4,0.007274775845386671
5,0.0036333642875119075
6,0.001629560992482881
7,0.0008293764504369911
8,0.0005519949471373182
9,0.00033823005678868234
10,0.00024637759112276
11,0.00021009169049422723
12,0.00015811370986437982
13,0.00013141358495454236
14,0.00011873477390868038
15,8.215766008621365e-05
16,7.290024068471779e-05
17,6.620347563877988e-05
18,6.223012616575678e-05
19,5.930449031748522e-05
20,6.146614072307748e-05
21,5.294456845018882e-05
22,4.672073660842475e-05
23,4.549951025717264e-05
24,4.12998086809116e-05
25,3.7246784568617744e-05
26,3.90837596464561e-05
27,3.45812093370991e-05
28,3.4940858196334256e-05
29,3.044087292905308e-05
30,2.7645380042412342e-05
31,2.6793069494837835e-05
32,2.5179131138275183e-05
33,2.4008735764951794e-05
34,2.1387507848792882e-05
35,2.1001233187039168e-05
36,1.9248356266017612e-05
37,1.8091090470195768e-05
38,1.80653267201687e-05
39,1.761031387269146e-05
40,1.599613300331733e-05
41,1.4657490600049001e-05
42,1.6540427757071996e-05
43,1.2984134408602225e-05
44,1.3212251516829606e-05
45,1.2999308312133936e-05
46,1.0992431604406915e-05
47,1.0378909450515475e-05
48,1.0076357786404353e-05
49,9.160297491064198e-06
50,1.026841712739045e-05
51,8.611559466753232e-06
52,8.504714810566952e-06
53,7.763852522277375e-06
54,7.984196596822037e-06
55,7.313330896970333e-06
56,7.175082040895964e-06
57,7.333222173322959e-06
58,6.811142591176615e-06
59,6.690337587724507e-06
60,7.284578940215488e-06
61,6.271533554312389e-06
62,5.8994689186401495e-06
63,5.711606800751709e-06
64,5.6388460699838595e-06
65,5.555529611774256e-06
66,5.3522553567918325e-06
67,5.146648321764088e-06
68,5.0984688822408275e-06
69,5.147148860258406e-06
70,5.372242235777838e-06
71,4.793414374037349e-06
72,4.689731752199096e-06
73,4.664810154115585e-06
74,4.79595663407389e-06
75,4.5383166485032744e-06
76,4.426532824922977e-06
77,4.953977727712257e-06
78,4.49245766086264e-06
79,4.333062661008667e-06
80,4.386289250173161e-06
81,4.35837572098356e-06
82,4.515950610189064e-06
83,4.426514125246595e-06
84,4.398402529085917e-06
85,4.24035465807258e-06
86,4.325680271516089e-06
87,4.2548272808542626e-06
88,3.8374979770225555e-06
89,3.928113877463829e-06
90,3.853174815345447e-06
91,3.950979563112489e-06
92,3.7263067868139708e-06
93,3.775859546178986e-06
94,4.076134616647768e-06
95,3.614567311851744e-06
96,3.711747584099945e-06
97,3.64820625410994e-06
98,3.5512158558910643e-06
99,3.585555481913604e-06
100,3.7465885856437237e-06
